,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_ft[0],-0.081,0.037,-0.155,-0.012,0.0,0.0,6969.0,5163.0,1.0
att_ft[1],-0.068,0.037,-0.135,0.002,0.0,0.0,7518.0,5863.0,1.0
att_ft[2],-0.064,0.037,-0.132,0.008,0.0,0.0,8057.0,5019.0,1.0
att_ft[3],-0.009,0.035,-0.075,0.058,0.0,0.0,7333.0,5422.0,1.0
att_ft[4],0.034,0.035,-0.03,0.102,0.0,0.0,7815.0,5162.0,1.0
att_ft[5],0.068,0.035,0.004,0.135,0.0,0.0,8460.0,5248.0,1.0
att_ft[6],-0.038,0.036,-0.103,0.033,0.0,0.0,6401.0,5349.0,1.0
att_ft[7],0.047,0.034,-0.018,0.11,0.0,0.0,8344.0,6142.0,1.0
att_ft[8],-0.083,0.038,-0.153,-0.011,0.0,0.0,7390.0,5767.0,1.0
att_ft[9],0.052,0.035,-0.012,0.118,0.0,0.0,7272.0,5615.0,1.0
att_ft[10],-0.04,0.037,-0.109,0.028,0.0,0.0,8220.0,5409.0,1.0
att_ft[11],0.096,0.035,0.03,0.161,0.0,0.0,8002.0,5407.0,1.0
att_ft[12],-0.103,0.038,-0.175,-0.033,0.0,0.0,6985.0,4930.0,1.0
att_ft[13],-0.156,0.038,-0.229,-0.088,0.0,0.0,6825.0,5109.0,1.0
att_ft[14],0.141,0.034,0.079,0.206,0.0,0.0,7994.0,5986.0,1.0
att_ft[15],-0.003,0.036,-0.075,0.061,0.0,0.0,7332.0,5409.0,1.0
att_ft[16],0.091,0.034,0.029,0.157,0.0,0.0,9042.0,5322.0,1.0
att_ft[17],-0.12,0.038,-0.194,-0.052,0.0,0.0,8474.0,5554.0,1.0
att_ft[18],0.074,0.034,0.012,0.137,0.0,0.0,7145.0,5601.0,1.0
att_ft[19],0.103,0.034,0.041,0.168,0.0,0.0,8324.0,5564.0,1.0
att_ft[20],0.092,0.035,0.028,0.157,0.0,0.0,6913.0,4983.0,1.0
att_ft[21],-0.039,0.036,-0.106,0.03,0.0,0.0,5555.0,4957.0,1.0
att_ft[22],-0.08,0.038,-0.153,-0.011,0.0,0.0,5806.0,4595.0,1.0
att_ft[23],-0.088,0.037,-0.157,-0.019,0.0,0.0,7512.0,5300.0,1.0
att_ft[24],0.082,0.034,0.017,0.145,0.0,0.0,7959.0,5530.0,1.0
att_ft[25],0.099,0.034,0.035,0.162,0.0,0.0,7189.0,5445.0,1.0
att_ft[26],0.006,0.036,-0.062,0.072,0.0,0.0,8416.0,4991.0,1.0
att_ft[27],-0.069,0.036,-0.136,-0.001,0.0,0.0,6107.0,5095.0,1.0
att_ft[28],0.006,0.035,-0.06,0.072,0.0,0.0,8560.0,6046.0,1.0
att_ft[29],0.053,0.036,-0.014,0.121,0.0,0.0,9817.0,5443.0,1.0
intercept_ft,2.944,0.092,2.773,3.114,0.003,0.002,1105.0,2146.0,1.0
att_2pt[0],-0.007,0.02,-0.046,0.031,0.0,0.0,7041.0,4942.0,1.0
att_2pt[1],-0.075,0.021,-0.113,-0.035,0.0,0.0,7308.0,5128.0,1.0
att_2pt[2],-0.148,0.022,-0.188,-0.107,0.0,0.0,7144.0,5381.0,1.0
att_2pt[3],0.034,0.02,-0.003,0.073,0.0,0.0,10899.0,5553.0,1.0
att_2pt[4],0.025,0.02,-0.013,0.064,0.0,0.0,7936.0,5415.0,1.0
att_2pt[5],-0.007,0.02,-0.045,0.029,0.0,0.0,8100.0,5748.0,1.0
att_2pt[6],0.049,0.02,0.012,0.087,0.0,0.0,8061.0,5368.0,1.0
