,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
def_ft[0],-0.018,0.077,-0.163,0.125,0.001,0.001,7960.0,7132.0,1.0
def_ft[1],-0.185,0.086,-0.346,-0.024,0.001,0.001,7957.0,6941.0,1.0
def_ft[2],0.011,0.075,-0.131,0.149,0.001,0.001,8430.0,7218.0,1.0
def_ft[3],0.014,0.073,-0.124,0.152,0.001,0.001,7727.0,6669.0,1.0
def_ft[4],-0.217,0.084,-0.378,-0.061,0.001,0.001,6927.0,6218.0,1.0
def_ft[5],0.084,0.071,-0.048,0.216,0.001,0.001,7510.0,6842.0,1.0
def_ft[6],0.228,0.07,0.099,0.36,0.001,0.001,7912.0,6499.0,1.0
def_ft[7],0.071,0.076,-0.077,0.209,0.001,0.001,7718.0,7162.0,1.0
def_ft[8],0.1,0.075,-0.038,0.243,0.001,0.001,8101.0,6980.0,1.0
def_ft[9],-0.066,0.078,-0.213,0.079,0.001,0.001,7564.0,7395.0,1.0
def_ft[10],0.094,0.075,-0.048,0.236,0.001,0.001,8016.0,7016.0,1.0
def_ft[11],-0.109,0.082,-0.262,0.047,0.001,0.001,7396.0,6595.0,1.0
def_ft[12],-0.013,0.079,-0.165,0.13,0.001,0.001,7759.0,6727.0,1.0
def_ft[13],0.017,0.078,-0.136,0.158,0.001,0.001,8116.0,6824.0,1.0
def_ft[14],0.112,0.077,-0.041,0.249,0.001,0.001,7997.0,6311.0,1.0
def_ft[15],0.063,0.073,-0.071,0.2,0.001,0.001,7518.0,6872.0,1.0
def_ft[16],0.108,0.074,-0.031,0.244,0.001,0.001,7824.0,7158.0,1.0
def_ft[17],-0.15,0.084,-0.308,0.008,0.001,0.001,7852.0,6956.0,1.0
def_ft[18],-0.058,0.075,-0.2,0.08,0.001,0.001,7657.0,5887.0,1.0
def_ft[19],-0.061,0.079,-0.206,0.094,0.001,0.001,7619.0,7653.0,1.0
def_ft[20],-0.005,0.075,-0.143,0.139,0.001,0.001,8100.0,6553.0,1.0
def_ft[21],0.124,0.072,-0.017,0.253,0.001,0.001,8106.0,6809.0,1.0
def_ft[22],-0.263,0.084,-0.425,-0.111,0.001,0.001,7672.0,7087.0,1.0
def_ft[23],0.232,0.074,0.088,0.363,0.001,0.001,8055.0,7156.0,1.0
def_ft[24],-0.004,0.078,-0.152,0.139,0.001,0.001,7743.0,6826.0,1.0
def_ft[25],0.013,0.079,-0.132,0.167,0.001,0.001,8165.0,7166.0,1.0
def_ft[26],-0.052,0.075,-0.199,0.082,0.001,0.001,7825.0,6151.0,1.0
def_ft[27],0.169,0.071,0.032,0.299,0.001,0.001,8014.0,6899.0,1.0
def_ft[28],-0.068,0.078,-0.212,0.086,0.001,0.001,7892.0,6636.0,1.0
def_ft[29],-0.17,0.093,-0.351,-0.004,0.001,0.001,7860.0,6192.0,1.0
intercept_ft,2.956,0.079,2.818,3.111,0.001,0.001,8331.0,6518.0,1.0
def_2pt[0],-0.065,0.047,-0.156,0.021,0.001,0.0,7920.0,6912.0,1.0
def_2pt[1],0.112,0.044,0.031,0.193,0.0,0.0,7604.0,6269.0,1.0
def_2pt[2],-0.033,0.045,-0.113,0.056,0.001,0.0,7486.0,7299.0,1.0
def_2pt[3],0.165,0.04,0.087,0.238,0.0,0.0,8461.0,5722.0,1.0
def_2pt[4],0.016,0.043,-0.065,0.095,0.0,0.0,7797.0,6333.0,1.0
def_2pt[5],-0.048,0.045,-0.134,0.037,0.001,0.0,7867.0,6265.0,1.0
def_2pt[6],0.02,0.045,-0.065,0.105,0.001,0.0,7915.0,6866.0,1.0
def_2pt[7],-0.186,0.049,-0.277,-0.09,0.001,0.0,8284.0,6620.0,1.0
def_2pt[8],-0.039,0.046,-0.124,0.05,0.001,0.0,7914.0,6372.0,1.0
def_2pt[9],0.044,0.045,-0.039,0.129,0.001,0.0,7490.0,7482.0,1.0
def_2pt[10],-0.024,0.045,-0.109,0.059,0.001,0.0,7642.0,6839.0,1.0
def_2pt[11],0.074,0.045,-0.01,0.158,0.0,0.0,8082.0,7107.0,1.0
def_2pt[12],-0.021,0.045,-0.106,0.064,0.0,0.0,8235.0,6548.0,1.0
def_2pt[13],0.027,0.047,-0.058,0.116,0.001,0.0,8136.0,7091.0,1.0
def_2pt[14],-0.012,0.047,-0.099,0.075,0.001,0.0,7962.0,6457.0,1.0
def_2pt[15],0.018,0.044,-0.068,0.097,0.0,0.0,7839.0,6476.0,1.0
def_2pt[16],-0.032,0.045,-0.12,0.049,0.001,0.0,7870.0,6752.0,1.0
def_2pt[17],0.051,0.046,-0.033,0.139,0.001,0.0,8194.0,7244.0,1.0
def_2pt[18],-0.069,0.045,-0.15,0.019,0.001,0.0,7289.0,6271.0,1.0
def_2pt[19],0.012,0.046,-0.076,0.095,0.001,0.0,8017.0,7169.0,1.0
def_2pt[20],-0.086,0.045,-0.172,-0.005,0.001,0.0,7958.0,6810.0,1.0
def_2pt[21],0.097,0.043,0.017,0.179,0.0,0.0,7683.0,7395.0,1.0
def_2pt[22],-0.006,0.045,-0.09,0.079,0.001,0.0,7937.0,7289.0,1.0
def_2pt[23],0.07,0.048,-0.024,0.155,0.001,0.0,7742.0,6935.0,1.0
def_2pt[24],-0.029,0.048,-0.123,0.056,0.001,0.0,7887.0,6641.0,1.0
def_2pt[25],0.019,0.046,-0.072,0.103,0.001,0.0,7627.0,7095.0,1.0
def_2pt[26],0.008,0.043,-0.071,0.093,0.0,0.0,8241.0,6550.0,1.0
def_2pt[27],0.004,0.046,-0.086,0.085,0.001,0.0,8350.0,5990.0,1.0
def_2pt[28],-0.029,0.046,-0.118,0.056,0.001,0.0,8053.0,6420.0,1.0
def_2pt[29],-0.057,0.052,-0.152,0.041,0.001,0.0,8051.0,5998.0,1.0
intercept_2pt,7.221,1.009,5.541,9.182,0.013,0.01,6768.0,4273.0,1.0
def_3pt[0],0.125,0.062,0.009,0.24,0.001,0.0,8025.0,7042.0,1.0
def_3pt[1],-0.177,0.07,-0.312,-0.046,0.001,0.001,7152.0,6406.0,1.0
def_3pt[2],0.057,0.064,-0.067,0.171,0.001,0.001,7709.0,6442.0,1.0
def_3pt[3],0.006,0.063,-0.111,0.124,0.001,0.001,7889.0,6509.0,1.0
def_3pt[4],0.075,0.063,-0.042,0.192,0.001,0.001,8045.0,6093.0,1.0
def_3pt[5],-0.135,0.067,-0.26,-0.006,0.001,0.001,7794.0,6410.0,1.0
def_3pt[6],-0.063,0.066,-0.192,0.056,0.001,0.001,8061.0,6197.0,1.0
def_3pt[7],-0.015,0.067,-0.141,0.109,0.001,0.001,7921.0,6570.0,1.0
def_3pt[8],-0.043,0.069,-0.174,0.083,0.001,0.001,7488.0,6767.0,1.0
def_3pt[9],-0.078,0.069,-0.209,0.051,0.001,0.001,7879.0,6243.0,1.0
def_3pt[10],0.032,0.066,-0.095,0.152,0.001,0.001,7678.0,6641.0,1.0
def_3pt[11],0.047,0.066,-0.075,0.167,0.001,0.001,7898.0,7301.0,1.0
def_3pt[12],0.051,0.062,-0.062,0.173,0.001,0.001,8027.0,6536.0,1.0
def_3pt[13],-0.023,0.066,-0.15,0.102,0.001,0.001,7837.0,6157.0,1.0
def_3pt[14],-0.047,0.067,-0.173,0.08,0.001,0.001,7950.0,6273.0,1.0
def_3pt[15],-0.097,0.068,-0.225,0.028,0.001,0.001,8014.0,6518.0,1.0
def_3pt[16],0.167,0.058,0.058,0.276,0.001,0.0,7435.0,6312.0,1.0
def_3pt[17],0.058,0.067,-0.066,0.186,0.001,0.001,7536.0,7356.0,1.0
def_3pt[18],-0.015,0.063,-0.132,0.102,0.001,0.001,7847.0,7048.0,1.0
def_3pt[19],0.067,0.067,-0.063,0.189,0.001,0.001,7578.0,6561.0,1.0
def_3pt[20],-0.145,0.066,-0.27,-0.022,0.001,0.001,7547.0,6246.0,1.0
def_3pt[21],0.001,0.065,-0.123,0.122,0.001,0.001,7503.0,6745.0,1.0
def_3pt[22],0.052,0.067,-0.072,0.181,0.001,0.001,7873.0,7463.0,1.0
def_3pt[23],-0.0,0.069,-0.128,0.129,0.001,0.001,8201.0,6901.0,1.0
def_3pt[24],-0.012,0.064,-0.132,0.109,0.001,0.001,7588.0,6714.0,1.0
def_3pt[25],0.076,0.066,-0.045,0.2,0.001,0.001,7623.0,6575.0,1.0
def_3pt[26],-0.017,0.062,-0.133,0.101,0.001,0.001,8130.0,5854.0,1.0
def_3pt[27],-0.081,0.066,-0.206,0.041,0.001,0.001,8175.0,6304.0,1.0
def_3pt[28],0.054,0.064,-0.058,0.181,0.001,0.001,7731.0,6446.0,1.0
def_3pt[29],0.08,0.069,-0.055,0.205,0.001,0.001,7832.0,6993.0,1.0
intercept_3pt,6.518,1.085,4.661,8.471,0.015,0.011,7015.0,3982.0,1.0
